zip,registered_evs,station_count,l1_ports,l2_ports,dcfc_ports,land_sqmi,total_ports,evs_per_dcfc_port,evs_per_total_port,ev_density_per_sqmi
14625,228,9.0,0.0,19.0,11.0,7.631,30.0,20.727272727272727,7.6,29.878128685624425
14626,333,20.0,0.0,53.0,6.0,13.375,59.0,55.5,5.6440677966101696,24.897196261682243
14627,19,1.0,0.0,2.0,0.0,0.203,2.0,,9.5,93.59605911330048
14652,1,0.0,0.0,0.0,0.0,,0.0,,,
14692,1,0.0,0.0,0.0,0.0,,0.0,,,
14701,118,12.0,0.0,15.0,11.0,92.565,26.0,10.727272727272727,4.538461538461538,1.274779884405553
14702,3,0.0,0.0,0.0,0.0,,0.0,,,
14706,19,0.0,0.0,0.0,0.0,81.104,0.0,,,0.23426711382915763
14709,4,1.0,0.0,0.0,4.0,51.919,4.0,1.0,1.0,0.07704308634603903
14710,18,0.0,0.0,0.0,0.0,53.214,0.0,,,0.33825684970120645
14711,3,0.0,0.0,0.0,0.0,41.164,0.0,,,0.07287921484792537
14712,45,0.0,0.0,0.0,0.0,25.776,0.0,,,1.7458100558659218
14715,9,0.0,0.0,0.0,0.0,45.658,0.0,,,0.19711770116956503
14716,4,0.0,0.0,0.0,0.0,11.833,0.0,,,0.3380376912025691
14717,3,0.0,0.0,0.0,0.0,34.432,0.0,,,0.08712825278810409
14718,7,0.0,0.0,0.0,0.0,35.007,0.0,,,0.19996000799840033
14719,5,1.0,0.0,2.0,0.0,101.137,2.0,,2.5,0.04943789117731394
14720,2,0.0,0.0,0.0,0.0,0.286,0.0,,,6.993006993006993
14721,2,0.0,0.0,0.0,0.0,3.366,0.0,,,0.5941770647653001
14722,7,0.0,0.0,0.0,0.0,0.361,0.0,,,19.390581717451525
14723,7,0.0,0.0,0.0,0.0,45.415,0.0,,,0.15413409666409777
14724,9,0.0,0.0,0.0,0.0,73.303,0.0,,,0.12277805819679959
14727,18,1.0,0.0,10.0,0.0,106.555,10.0,,1.8,0.16892684529116417
14728,4,0.0,0.0,0.0,0.0,28.448,0.0,,,0.140607424071991
14729,4,0.0,0.0,0.0,0.0,29.679,0.0,,,0.13477543043903098
